Date;Home shots;Away shots;Home shots on target;Away shots on target;Home fouls committed;Away fouls committed;Home corners;Away corners;Home yellow cards;Away yellow cards;Home red cards;Away red cards;Home Turnover (£m);Home Gate and Matchday income (£m);Home TV and Broadcasting (£m);Home Commercial income (£m);Away Turnover (£m);Away Gate and Matchday income (£m);Away TV and Broadcasting (£m);Away Commercial income (£m);Winner;Date.year;Date.month;Date.day-of-month;Date.day-of-week;Winner_1;;
22/04/2012;28;9;12;4;10;8;15;3;2;0;0;0;169;42;63;64;67;8;50;9;Away;2012;4;22;7;Draw;;
28/04/2012;12;16;6;9;8;16;7;5;1;0;0;0;78;14;47;8;65;8;43;;Draw;2012;4;28;6;Away;;
28/04/2012;13;8;7;5;14;16;10;3;0;4;0;0;67;8;50;9;80;20;47;14;Draw;2012;4;28;6;Away;;
02/05/2012;14;13;8;10;6;9;4;7;2;1;0;0;65;8;43;;144;21;59;9;Away;2012;5;2;3;Away;1;
02/05/2012;17;12;6;6;9;5;4;4;0;3;0;0;261;78;113;70;93;24;56;14;Away;2012;5;2;3;Home;;
05/05/2012;20;12;13;6;8;15;6;1;2;3;0;0;245;95;85;34;75;11;50;14;Draw;2012;5;5;6;Home;;
06/05/2012;26;13;18;9;12;6;16;3;1;0;0;0;320;99;104;118;65;;;4;Home;2012;5;6;7;Away;;
06/05/2012;14;19;9;12;12;7;2;6;4;3;0;0;93;24;56;14;231;22;88;121;Away;2012;5;6;7;Home;;
06/05/2012;21;8;12;1;11;14;7;3;0;0;0;0;64;;;;71;8;46;;Home;2012;5;6;7;Home;1;
06/05/2012;7;18;1;10;7;10;3;7;0;0;0;0;60;8;42;5;81;17;53;11;Draw;2012;5;6;7;Away;;
13/05/2012;35;3;24;3;4;6;19;0;1;1;0;1;231;22;88;121;64;;;;Home;2012;5;13;7;Away;;
13/05/2012;6;17;5;9;14;11;1;9;3;3;0;0;78;14;47;8;320;99;104;118;Away;2012;5;13;7;Away;1;
13/05/2012;13;14;8;9;5;5;6;5;1;1;0;0;65;;;4;169;42;63;64;Home;2012;5;13;7;Home;1;
13/05/2012;15;10;9;7;8;12;9;3;0;2;0;0;144;21;59;9;79;11;51;;Home;2012;5;13;7;Away;;
